Time,SessionTime,Distance,Speed,RPM,nGear,Throttle,Brake,DRS,X,Y,Z
0 days 00:00:45.104000,0 days 01:57:11.196000,2838.533115127696,166.07500017777778,10864.599965866666,4,64.07499306666668,False,0,10961.0,12634.0,1928.0
0 days 00:00:45.131000,0 days 01:57:11.223000,2839.7883333333334,166.0,10879.0,4,67.0,False,0,10954.83212171066,12623.991080015807,1927.9833046948793
0 days 00:00:45.264000,0 days 01:57:11.356000,2846.006294478412,167.47777706666668,10945.130523733333,4,69.58610986666666,False,0,10918.0,12573.0,1928.0
0 days 00:00:45.491000,0 days 01:57:11.583000,2856.7883333333334,170.0,11058.0,4,74.0,False,0,10805.463328412956,12460.139678655883,1929.7504859010048
0 days 00:00:45.524000,0 days 01:57:11.616000,2858.3788760281022,170.8249984,11035.23004416,4,75.31999744,False,0,10791.0,12447.0,1930.0
0 days 00:00:45.691000,0 days 01:57:11.783000,2866.5105555555556,175.0,10920.0,4,82.0,False,0,10739.12621927074,12404.912132552885,1930.8667608917613
0 days 00:00:45.851000,0 days 01:57:11.943000,2874.4216666666666,178.0,9803.0,4,86.0,False,0,10702.219568190776,12383.907670397335,1931.070326830675
0 days 00:00:45.904000,0 days 01:57:11.996000,2877.0909936421567,179.4906232,9902.7061296,4,88.1531224,False,0,10685.0,12374.0,1931.0
0 days 00:00:46.171000,0 days 01:57:12.263000,2891.043888888889,187.0,10405.0,5,99.0,False,0,10567.89298063253,12306.321428324145,1929.1992765443279
0 days 00:00:46.184000,0 days 01:57:12.276000,2891.7515972272545,187.58499712,10424.72740288,5,99.03249984,False,0,10562.0,12303.0,1929.0
0 days 00:00:46.244000,0 days 01:57:12.336000,2895.0543789946178,190.28499712,10515.77740288,5,99.18249984,False,0,10535.0,12288.0,1928.0
0 days 00:00:46.504000,0 days 01:57:12.596000,2909.9321480472427,201.98499712,10910.32740288,5,99.83249984,False,0,10409.0,12224.0,1927.0
0 days 00:00:46.571000,0 days 01:57:12.663000,2913.8216666666667,205.0,11012.0,5,100.0,False,0,10374.998496190161,12206.758348342773,1927.0466301441782
0 days 00:00:46.644000,0 days 01:57:12.736000,2918.071621537255,206.56428434285715,11144.442741028572,5,99.73928594285714,False,0,10338.0,12188.0,1927.0
0 days 00:00:46.824000,0 days 01:57:12.916000,2928.631802549045,210.4214272,11471.0141696,5,99.0964288,False,0,10244.0,12141.0,1926.0
0 days 00:00:46.851000,0 days 01:57:12.943000,2930.2327777777778,211.0,11520.0,5,99.0,False,0,10227.112077558815,12132.440637239446,1925.827174699133
0 days 00:00:47.131000,0 days 01:57:13.223000,2947.1883333333335,218.0,11836.0,5,100.0,False,0,10017.070772136109,12023.97034088692,1924.249361346889
0 days 00:00:47.204000,0 days 01:57:13.296000,2951.7678921835804,220.37249792,11652.77016064,5,100.0,False,0,9975.0,12002.0,1924.0
